City,Lat,Long,Max Temp,Humidity,Cloudiness (%),Wind Speed (m/s),Country,Date
Atuona,-9.8,-139.03,299.33,78,11,9.96,PF,1596041118
Albany,42.6,-73.97,304.26,33,6,2.57,US,1596040879
Trairi,-3.28,-39.27,303.04,51,0,6.38,BR,1596041118
Mataura,-46.19,168.86,281.88,90,100,1.63,NZ,1596041227
Qaanaaq,77.48,-69.36,279.09,73,73,0.9,GL,1596041227
Hobart,-42.88,147.33,281.48,70,10,5.1,AU,1596041228
Ushuaia,-54.8,-68.3,277.15,69,40,15.4,AR,1596041228
Barrow,71.29,-156.79,279.15,75,90,9.8,US,1596041228
The Valley,18.22,-63.06,300.15,88,75,13.4,AI,1596041229
Richards Bay,-28.78,32.04,291.34,89,5,2.32,ZA,1596041229
Avarua,-21.21,-159.78,294.15,88,89,3.1,CK,1596041154
Yellowknife,62.46,-114.35,293.15,60,20,4.6,CA,1596041229
Palekastro,35.2,26.25,304.82,40,0,2.68,GR,1596041229
Tual,-5.67,132.75,299.02,84,99,9.93,ID,1596041230
Lebu,-37.62,-73.65,282.68,55,65,1.56,CL,1596041230
Bethel,41.37,-73.41,304.26,51,1,3.6,US,1596041230
Zambezi,-13.54,23.1,292.77,33,0,1.42,ZM,1596041230
Saint-Philippe,-21.36,55.77,295.15,83,75,3.6,RE,1596041230
Tessalit,20.2,1.01,313.74,11,0,3.64,ML,1596041231
Bathsheba,13.22,-59.52,300.15,88,75,9.8,BB,1596041231
Provideniya,64.38,-173.3,282.38,91,100,3.89,RU,1596041231
Oranjemund,-28.55,16.43,286.69,77,0,6.88,NA,1596041232
Rikitea,-23.12,-134.97,295.76,81,10,5.48,PF,1596041232
Hermanus,-34.42,19.23,287.04,84,0,5.58,ZA,1596041232
Saskylakh,71.92,114.08,281.69,84,0,2.03,RU,1596041232
Astara,38.5,48.67,302.15,100,40,6.2,AZ,1596041233
Cape Town,-33.93,18.42,288.71,82,20,4.1,ZA,1596041091
Tiksi,71.69,128.87,277.57,86,98,3.32,RU,1596041233
Luganville,-15.53,167.17,298.13,85,73,1.96,VU,1596041233
Kapaa,22.08,-159.32,297.15,88,90,8.2,US,1596041233
Nikolskoye,59.7,30.79,293.15,77,75,6.0,RU,1596041234
Khatanga,71.97,102.5,284.84,74,13,2.82,RU,1596041234
Kaitangata,-46.28,169.85,282.04,82,100,0.89,NZ,1596041234
Mar del Plata,-38.0,-57.56,285.15,46,0,5.7,AR,1596041148
Bukachacha,52.98,116.92,291.91,91,100,1.36,RU,1596041234
Fort Nelson,58.81,-122.7,286.15,93,75,3.1,CA,1596041234
Jamestown,42.1,-79.24,300.37,65,20,6.7,US,1596041235
Ribeira Grande,38.52,-28.7,297.15,88,40,7.2,PT,1596041235
Quatre Cocos,-20.21,57.76,295.15,83,40,7.2,MU,1596041235
Rawson,-43.3,-65.1,282.5,50,0,5.09,AR,1596041235
Korāput,18.82,82.72,296.25,92,100,2.39,IN,1596040844
Rochegda,62.8,43.25,289.5,92,92,1.51,RU,1596040844
Leningradskiy,69.38,178.42,276.93,77,23,1.88,RU,1596040844
Oudtshoorn,-33.59,22.2,289.15,59,0,2.1,ZA,1596040844
Quryq,43.2,51.65,298.24,49,100,12.04,KZ,1596040845
Busselton,-33.65,115.33,281.48,84,26,1.33,AU,1596040845
Carnarvon,-24.87,113.63,289.15,100,0,3.1,AU,1596040845
Saint Paul Harbor,57.79,-152.41,286.15,71,1,2.1,US,1596040845
Odienné,9.51,-7.57,299.8,81,42,1.25,CI,1596040845
Kungälv,57.87,11.98,289.26,81,64,1.79,SE,1596040846
Puerto Ayora,-0.74,-90.35,295.15,73,75,8.7,EC,1596040846
Lüderitz,-26.65,15.16,290.15,63,0,8.2,NA,1596040846
Béjar,40.39,-5.76,309.82,24,0,3.1,ES,1596040846
Punta Arenas,-53.15,-70.92,277.15,80,40,4.6,CL,1596040657
Katsuura,35.13,140.3,294.82,100,90,1.5,JP,1596040846
Bambous Virieux,-20.34,57.76,295.15,83,40,7.2,MU,1596040846
Korla,41.76,86.15,302.04,61,52,2.24,CN,1596040745
Cabo San Lucas,22.89,-109.91,303.71,57,20,3.6,MX,1596040847
Ituaçu,-13.81,-41.3,299.01,45,35,2.83,BR,1596040847
Nemuro,43.32,145.57,288.59,93,9,4.86,JP,1596040847
Margate,51.38,1.39,297.04,52,17,0.89,GB,1596040847
Easthampton,42.27,-72.67,304.82,43,75,5.1,US,1596040847
Tura,25.52,90.22,297.18,95,100,2.63,IN,1596040847
Souillac,-20.52,57.52,295.15,83,40,7.2,MU,1596040946
Gold Coast,-28.0,153.43,285.37,93,40,3.1,AU,1596040905
Inhambane,-23.86,35.38,293.15,82,20,3.1,MZ,1596040947
Matara,5.95,80.54,298.71,89,57,4.51,LK,1596041239
Panabá,21.28,-88.27,305.19,58,3,5.01,MX,1596041239
Pisco,-13.7,-76.22,289.26,82,90,1.5,PE,1596041239
Vaini,-21.2,-175.2,293.15,77,40,5.7,TO,1596041240
Esperance,-33.87,121.9,285.15,93,0,3.6,AU,1596041240
Mandalgovi,45.76,106.27,291.89,63,100,2.89,MN,1596040955
Melchor de Mencos,17.07,-89.15,303.15,74,75,5.1,GT,1596041240
Sri Aman,1.24,111.46,298.15,94,100,0.23,MY,1596041240
Severo-Kuril'sk,50.68,156.12,284.13,90,86,6.49,RU,1596041240
Pevek,69.7,170.31,275.4,90,89,3.04,RU,1596041241
Cidreira,-30.18,-50.21,284.45,63,71,4.18,BR,1596041241
Okara,30.81,73.45,308.9,41,42,4.98,PK,1596041048
Hithadhoo,-0.6,73.08,301.66,75,23,7.65,MV,1596041241
Conceição do Araguaia,-8.26,-49.26,307.15,26,0,4.1,BR,1596041242
Nānākuli,21.39,-158.15,298.15,88,1,1.5,US,1596041242
Conceição da Barra,-18.59,-39.73,299.12,55,1,3.42,BR,1596041242
Bredasdorp,-34.53,20.04,290.15,67,0,4.6,ZA,1596041242
